id,seed,target,model,rmse,r2,custom_str
218,b'4\xfd\x00\x00',Originality,LinearModel,0.16289065982888853,0.4204395643813703,
219,b'4\xfd\x00\x00',Originality,CatBoost,0.16390704680142412,0.4131844468027712,
220,b'4\xfd\x00\x00',Originality,LightGBM,0.16780933471239323,0.38491009919643304,
221,b'4\xfd\x00\x00',Flexibility,LinearModel,0.11275601396306231,0.7162768526546293,
222,b'4\xfd\x00\x00',Flexibility,WeightedEnsemble_L2,0.11509272394528029,0.7043954755424907,
223,b'4\xfd\x00\x00',Flexibility,CatBoost,0.11956316720711116,0.6809856925139948,
224,b'4\xfd\x00\x00',Flexibility,LightGBM,0.1228009971190437,0.6634736107521246,
225,b'\x01\x03\x00\x00',Total Score,WeightedEnsemble_L2,0.10000649286172353,0.6988168602713248,
226,b'\x01\x03\x00\x00',Total Score,LinearModel,0.1001590968293405,0.6978969838067103,
227,b'\x01\x03\x00\x00',Total Score,CatBoost,0.1041999943628731,0.6730286858269747,
228,b'\x01\x03\x00\x00',Total Score,LightGBM,0.10775137220243557,0.650360990677143,
229,b'\x01\x03\x00\x00',Fluency,WeightedEnsemble_L2,0.08572548623202336,0.8194684953500558,
230,b'\x01\x03\x00\x00',Fluency,LightGBM,0.08845939364577059,0.8077700717345268,
231,b'\x01\x03\x00\x00',Fluency,LinearModel,0.0901685870607098,0.8002698554504466,
232,b'\x01\x03\x00\x00',Fluency,CatBoost,0.09449248337626028,0.7806550634270851,
233,b'\x01\x03\x00\x00',Originality,WeightedEnsemble_L2,0.16631597668625145,0.36554527359048006,
234,b'\x01\x03\x00\x00',Originality,LinearModel,0.1675909590242366,0.35578049715278726,
235,b'\x01\x03\x00\x00',Originality,CatBoost,0.17197426969612656,0.3216409181562373,
236,b'\x01\x03\x00\x00',Originality,LightGBM,0.1745631054503009,0.3010636709301564,
237,b'\x01\x03\x00\x00',Flexibility,WeightedEnsemble_L2,0.12319947354309158,0.6198214359434604,
238,b'\x01\x03\x00\x00',Flexibility,LinearModel,0.12344962681903425,0.6182759834755174,
239,b'\x01\x03\x00\x00',Flexibility,LightGBM,0.12837688640373848,0.5871962835319389,
240,b'\x01\x03\x00\x00',Flexibility,CatBoost,0.1292011860203357,0.5818780928017473,
241,b'W\xe9\x00\x00',Total Score,WeightedEnsemble_L2,0.10239454974867854,0.7288193387666342,
242,b'W\xe9\x00\x00',Total Score,LinearModel,0.1044306924469739,0.7179271091792027,
